Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-33.9006,18.39903,2,0,
-33.90063,18.39893,2,0.01,
-33.90065,18.39885,2,0.018,
-33.90069,18.39878,2,0.025,
-33.90074,18.3987,2,0.035,
-33.90077,18.39867,2,0.039,
-33.9008,18.39864,3,0.043,4
-33.90084,18.39862,3,0.048,4
-33.90088,18.39862,3,0.053,4
-33.90092,18.39863,3,0.057,6
-33.90095,18.39866,3,0.061,4
-33.901,18.39873,4,0.07,5
-33.90105,18.39879,4,0.078,5
-33.90106,18.3988,4,0.079,4
-33.90111,18.39884,5,0.086,4
-33.90134,18.39901,6,0.116,4
-33.90141,18.39909,6,0.127,3
-33.90146,18.39915,6,0.135,3
-33.9015,18.39923,7,0.143,2
-33.90154,18.39934,7,0.154,4
-33.90158,18.39943,7,0.164,2
-33.90162,18.39951,7,0.172,2
-33.9017,18.39962,8,0.186,3
-33.90179,18.3997,8,0.198,4
-33.90185,18.39975,8,0.207,4
-33.90194,18.39961,9,0.223,2
-33.90195,18.39959,9,0.225,4
-33.90198,18.39957,9,0.229,4
-33.90211,18.3995,9,0.245,0
-33.90215,18.39947,10,0.25,0
-33.90221,18.39939,10,0.26,-2
-33.90263,18.3992,9,0.31,-5
-33.90319,18.39896,6,0.376,0
-33.90388,18.39871,6,0.456,1
-33.90471,18.398475,7,0.551,0
-33.90554,18.39824,7,0.646,0
-33.90562,18.39824,7,0.655,0
-33.9057,18.39824,7,0.664,1
-33.90575,18.39827,7,0.67,2
-33.9058,18.39829,7,0.676,2
-33.90596,18.39833,8,0.694,2
-33.90612,18.39847,8,0.716,0
-33.90623,18.39849,8,0.729,0
-33.90639,18.39853,8,0.747,0
-33.90638,18.39888,8,0.779,-2
-33.90641,18.39912,7,0.801,-2
-33.90646,18.39948,7,0.835,0
-33.90647,18.39951,7,0.838,2
-33.90655,18.3999,7,0.875,4
-33.90675,18.40079,10,0.961,3
-33.90678,18.40094,10,0.975,0
-33.90688,18.40158,10,1.035,0
-33.90688,18.40159,10,1.036,1
-33.90692,18.40189,11,1.064,1
-33.90694,18.402,11,1.074,0
-33.90701,18.40269,11,1.139,-1
-33.90706,18.40343,10,1.207,-2
-33.90708,18.40396,9,1.256,1
-33.90708,18.40471,10,1.325,1
-33.90706,18.40545,11,1.394,0
-33.90703,18.40572,10,1.419,-2
-33.90699,18.40641,9,1.483,0
-33.906955,18.407025,9,1.54,2
-33.90692,18.40764,10,1.597,3
-33.90691,18.40788,11,1.619,3
-33.9069,18.40808,12,1.638,3
-33.9069,18.40857,13,1.683,2
-33.90691,18.40866,13,1.691,0
-33.90691,18.40887,13,1.711,-2
-33.90693,18.4091,12,1.732,-2
-33.90696,18.40935,12,1.755,-1
-33.90709,18.41019,11,1.834,-1
-33.9071,18.41028,11,1.843,-1
-33.9071,18.41037,11,1.851,-1
-33.90709,18.41045,11,1.858,-1
-33.90707,18.41052,11,1.865,0
-33.90705,18.41058,11,1.871,0
-33.90704,18.41065,11,1.878,0
-33.90702,18.41067,11,1.881,0
-33.907,18.4107,11,1.884,0
-33.90699,18.41072,11,1.886,0
-33.90698,18.41075,11,1.889,0
-33.90697,18.41079,11,1.893,0
-33.90696,18.41082,11,1.896,0
-33.90696,18.41085,11,1.899,0
-33.90695,18.41088,11,1.902,0
-33.90696,18.41092,11,1.906,0
-33.90696,18.41096,11,1.91,0
-33.90697,18.41099,11,1.913,0
-33.90698,18.41103,11,1.916,0
-33.907,18.41106,11,1.92,0
-33.90701,18.41109,11,1.923,0
-33.90703,18.41112,11,1.927,0
-33.90705,18.41114,11,1.929,0
-33.90707,18.41115,11,1.932,0
-33.90709,18.41116,11,1.934,0
-33.9071,18.41117,11,1.936,2
-33.90712,18.41118,11,1.938,2
-33.90714,18.41118,11,1.94,4
-33.90715,18.41119,11,1.942,5
-33.90717,18.41119,11,1.944,5
-33.90719,18.41119,11,1.946,5
-33.90731,18.41131,11,1.964,6
-33.90739,18.41141,12,1.976,5
-33.90752,18.41161,14,2,5
-33.90756,18.41166,14,2.006,2
-33.90771,18.41192,15,2.036,2
-33.90787,18.41219,15,2.066,-2
-33.90802,18.41246,14,2.096,0
-33.90803,18.41247,14,2.098,2
-33.90818,18.41271,15,2.125,3
-33.90822,18.41277,16,2.133,3
-33.90827,18.41284,16,2.141,4
-33.9084,18.41298,16,2.16,4
-33.90847,18.41306,17,2.171,1
-33.90853,18.41313,17,2.181,0
-33.90854,18.41314,17,2.182,0
-33.90899,18.41371,17,2.255,0
-33.90912,18.41383,17,2.273,-1
-33.9096,18.41436,16,2.345,-1
-33.90987,18.41467,16,2.387,0
-33.910415,18.415305,16,2.471,0
-33.91096,18.41594,16,2.556,0
-33.91109,18.41613,16,2.578,-2
-33.91118,18.41628,15,2.595,-2
-33.91125,18.41644,15,2.612,0
-33.91132,18.41664,15,2.632,0
-33.91135,18.4168,15,2.647,0
-33.91137,18.41685,15,2.653,-2
-33.91139,18.41705,15,2.671,-2
-33.91143,18.41749,14,2.712,0
-33.91148,18.41828,14,2.785,0
-33.91151,18.41859,14,2.814,3
-33.91157,18.4189,16,2.843,6
-33.91164,18.41913,17,2.866,4
-33.91168,18.41926,18,2.879,3
-33.91176,18.41944,18,2.898,2
-33.91182,18.41954,18,2.909,0
-33.91185,18.41959,18,2.915,0
-33.91188,18.41963,18,2.92,0
-33.91194,18.41972,18,2.931,0
-33.91206,18.41988,18,2.95,0
-33.91225,18.42007,18,2.978,0
-33.91234,18.42015,18,2.99,0
-33.91243,18.42021,18,3.002,-1
-33.91251,18.42026,18,3.012,-2
-33.91255,18.42028,19,3.017,-2
-33.91288,18.42048,17,3.058,-1
-33.91346,18.42082,16,3.13,-2
-33.91391,18.42111,15,3.186,-3
-33.91407,18.4212,14,3.206,-2
-33.9145,18.421455,13,3.259,0
