Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-33.96269,25.61,76,0,
-33.96235,25.60978,76,0.043,
-33.96211,25.60963,75,0.073,
-33.96196,25.60952,75,0.093,
-33.96186,25.60945,75,0.105,
-33.96184,25.60956,75,0.116,
-33.961725,25.610345,76,0.189,0
-33.96161,25.61113,76,0.263,-5
-33.96152,25.61178,73,0.324,-5
-33.96149,25.61201,72,0.345,-3
-33.96142,25.61247,71,0.389,-5
-33.96132,25.61313,68,0.451,-4
-33.9613,25.61322,68,0.459,-4
-33.96129,25.61335,67,0.471,-5
-33.96126,25.61353,67,0.488,-6
-33.96118,25.61408,64,0.54,-6
-33.96115,25.61424,63,0.555,-3
-33.96105,25.61489,61,0.616,-4
-33.96101,25.61501,60,0.628,-3
-33.960615,25.61559,58,0.697,-4
-33.96022,25.61617,55,0.766,-7
-33.95976,25.61688,49,0.85,-7
-33.9596,25.61714,47,0.879,-9
-33.95957,25.61719,46,0.885,-10
-33.95945,25.61736,44,0.906,-9
-33.95942,25.61741,43,0.911,-8
-33.95909,25.61792,38,0.971,-7
-33.95897,25.61809,37,0.992,-6
-33.95893,25.61815,37,0.999,-3
-33.95886,25.61826,37,1.012,-4
-33.95841,25.61894,34,1.092,-6
-33.9582,25.61912,31,1.121,-14
-33.95811,25.61918,29,1.132,-14
-33.95803,25.61923,27,1.142,-22
-33.95798,25.61925,26,1.148,-23
-33.95779,25.61935,20,1.171,-24
-33.95773,25.61938,18,1.178,-14
-33.95753,25.61948,13,1.202,-14
-33.95737,25.61955,13,1.221,-11
-33.95732,25.61957,12,1.227,-10
-33.95726,25.61957,12,1.234,-10
-33.95723,25.61957,12,1.237,-4
-33.95721,25.61956,12,1.24,-5
-33.95717,25.61955,11,1.244,-6
-33.95713,25.61953,11,1.249,0
-33.95712,25.61953,11,1.25,0
-33.95709,25.61951,11,1.254,1
-33.95705,25.61947,10,1.26,1
-33.95698,25.61937,10,1.272,4
-33.95665,25.61892,12,1.327,-2
-33.95635,25.618505,11,1.378,-2
