Latitude	Longitude	Elevation (metres)	Distance (KMs)	Gradient
-29.85049	31.01585	18	0	
-29.85064	31.01588	18	0.017	
-29.85105	31.01599	19	0.064	
-29.85145	31.01607	20	0.109	
-29.85188	31.01616	20	0.158	
-29.85197	31.01618	20	0.168	
-29.85224	31.01623	19	0.198	-4
-29.85244	31.01627	18	0.221	-6
-29.8526	31.01631	17	0.239	-7
-29.85297	31.0164	14	0.281	-6
-29.85331	31.01645	12	0.319	-2
-29.85342	31.01648	13	0.332	2
-29.8536	31.01651	13	0.352	2
-29.85365	31.015985	14	0.403	0
-29.8537	31.01546	14	0.454	-1
-29.85374	31.01526	13	0.474	-3
-29.85378	31.01506	13	0.494	-1
-29.85382	31.01479	12	0.52	-2
-29.85386	31.01442	12	0.556	-1
-29.85396	31.0141	11	0.589	-2
-29.85404	31.01394	11	0.607	-2
-29.85408	31.01382	11	0.619	-2
-29.85417	31.01362	10	0.641	-2
-29.85432	31.01337	10	0.67	-1
-29.85487	31.01258	9	0.768	-1
-29.85502	31.01237	9	0.795	0
-29.85512	31.01222	10	0.813	1
-29.85513	31.01221	10	0.814	2
-29.85525	31.01198	10	0.84	2
-29.85528	31.01193	10	0.846	2
-29.85533	31.01178	11	0.862	3
-29.85536	31.01171	11	0.869	4
-29.8554	31.01161	11	0.88	1
-29.85546	31.01143	12	0.898	2
-29.85549	31.01134	12	0.908	2
-29.85554	31.01109	12	0.932	2
-29.85558	31.01082	13	0.959	2
-29.85558	31.01017	14	1.022	3
-29.85558	31.01006	15	1.032	2
-29.85558	31.00953	16	1.083	4
-29.85558	31.0095	17	1.086	5
-29.85558	31.00917	18	1.118	4
-29.85557	31.00876	20	1.158	6
-29.85557	31.0087	21	1.164	3
-29.85555	31.00825	23	1.207	2
-29.85554	31.00785	23	1.246	1
-29.85553	31.00745	24	1.284	3
-29.8555	31.00705	25	1.323	5
-29.855515	31.006405	28	1.385	5
-29.85553	31.00576	31	1.448	3
-29.85552	31.00516	33	1.506	4
-29.85549	31.00488	34	1.533	4
-29.85545	31.00459	35	1.561	3
-29.85538	31.0043	36	1.59	3
-29.85526	31.00392	37	1.629	4
-29.85525	31.0039	37	1.632	0
-29.8552	31.00375	38	1.647	0
-29.85504	31.0033	37	1.694	-1
-29.85495	31.00304	37	1.721	1
-29.8549	31.0029	37	1.736	2
-29.85481	31.00263	38	1.764	4
-29.85477	31.00251	38	1.776	4
-29.85466	31.00221	40	1.807	5
-29.85455	31.0019	41	1.84	3
-29.85434	31.00132	43	1.9	4
-29.85428	31.00118	44	1.916	6
-29.85422	31.00103	45	1.931	6
-29.85407	31.00067	47	1.97	7
-29.85392	31.00037	50	2.003	8
-29.85374	31.00001	53	2.044	8
-29.85362	30.99978	55	2.07	5
-29.85338	30.99928	58	2.125	5
-29.85338	30.99927	58	2.126	5
-29.85308	30.99868	61	2.192	5
-29.85294	30.9984	63	2.223	5
-29.85275	30.998	65	2.267	3
-29.85242	30.99729	67	2.345	3
-29.85232	30.99706	68	2.37	3
-29.85227	30.99691	68	2.385	6
-29.85218	30.99666	69	2.411	8
-29.851855	30.99572	77	2.509	8
-29.85153	30.99478	85	2.607	6
-29.85132	30.994115	89	2.675	0
-29.85111	30.99345	89	2.743	3
-29.85087	30.9925	92	2.839	5
-29.85075	30.99192	95	2.896	7
-29.85063	30.99134	99	2.954	10
-29.85051	30.99071	105	3.016	10
-29.85042	30.99032	109	3.055	6
-29.85041	30.9903	109	3.057	2
-29.8503	30.98981	110	3.106	-4
-29.85009	30.98881	106	3.206	-3
-29.849945	30.98812	104	3.274	-7
-29.8498	30.98743	99	3.343	-8
-29.84972	30.98721	97	3.366	-8
-29.8497	30.98714	96	3.373	-10
-29.84962	30.98693	95	3.395	-10
-29.84947	30.98667	91	3.425	-11
-29.84927	30.98642	88	3.458	-8
-29.84906	30.98619	86	3.49	-5
-29.84883	30.98602	85	3.521	-4
-29.84815	30.98561	82	3.606	-4
-29.84772	30.98549	80	3.655	-4
-29.84725	30.98539	78	3.708	-5
-29.84697	30.98533	76	3.74	-5
-29.84674	30.98527	75	3.766	-5
-29.84672	30.98527	75	3.769	-4
-29.84667	30.98526	75	3.774	-2
-29.84657	30.98524	75	3.786	2
-29.84656	30.98523	75	3.787	3
-29.84643	30.9852	75	3.802	4
-29.84596	30.985085	77	3.855	4
-29.84549	30.98497	79	3.909	4
-29.845	30.98486	81	3.964	4
-29.84478	30.98482	82	3.989	5
-29.84464	30.98479	83	4.005	5
-29.84447	30.98475	84	4.024	5
-29.8443	30.98469	85	4.044	4
-29.8441	30.98458	86	4.069	5
-29.84405	30.98456	86	4.075	6
-29.84383	30.98444	88	4.102	6
-29.84354	30.98426	90	4.138	5
-29.84313	30.98391	93	4.195	6
-29.84279	30.98352	96	4.249	6
-29.84256	30.9832	99	4.289	6
-29.8425	30.9831	99	4.301	2
-29.84225	30.98264	100	4.353	3
-29.84184	30.98177	103	4.449	3
-29.84183	30.98173	103	4.453	4
-29.84175	30.98154	104	4.473	6
-29.84167	30.98136	105	4.492	8
-29.84158	30.98115	107	4.515	9
-29.84141	30.98073	111	4.56	9
-29.84133	30.98052	113	4.582	7
-29.84125	30.98033	114	4.602	8
-29.8412	30.98021	115	4.615	8
-29.84111	30.97995	118	4.642	6
-29.840925	30.979465	121	4.693	4
-29.84074	30.97898	123	4.745	2
-29.84063	30.9787	123	4.774	0
-29.84054	30.97841	123	4.804	-2
-29.84045	30.97812	122	4.834	-5
-29.84037	30.97783	120	4.863	-7
-29.84035	30.97774	120	4.872	-5
-29.84025	30.97738	117	4.909	-6
-29.84019	30.97709	116	4.937	-6
-29.84018	30.97704	116	4.942	-3
-29.84015	30.97688	115	4.958	2
-29.8401	30.97666	115	4.98	4
-29.84003	30.9762	118	5.025	8
-29.83997	30.97585	121	5.06	8
